feature_id,surface,feature,entrypoint_or_route,source_evidence,user_story,expected_behavior,setup_preconditions,test_command_or_steps,status,first_test_result,error_id,error_summary,fix_status,retest_result,last_verified_at,notes
CLI-011,CLI,Skill quality,ctx-skill-quality,pyproject.toml project.scripts,As a maintainer I can compute skill quality,Quality scores explain telemetry intake graph and routing signals,Repo graph/wiki available,ctx-skill-quality --help then sample,Tested Pass,"mirror/quality batch: 123 passed, including skill quality behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-012,CLI,Agent add,ctx-agent-add,pyproject.toml project.scripts,As a user I can add or update an agent,Agent page is validated written atomically and connected to graph,Temp agent markdown and wiki path,ctx-agent-add --agent-path temp/agent.md --name demo --wiki temp/wiki,Retested Pass,Failed in isolated A-Z flow: Windows UTF-8 BOM input was rejected by markdown/JSON parsing; some rejected batch CLIs could still exit 0.,CTX-AZ-004,"Entity onboarding was not Windows-BOM-safe across skill/agent/MCP/harness inputs, and failed batches needed non-zero exits.",Fixed,Agent add accepted BOM-prefixed agent markdown and wrote wiki entity in temp CLI flow. Focused pytest regressions passed.,2026-06-23,Regression coverage added for BOM inputs and MCP rejected-batch exit.
CLI-013,CLI,Agent install,ctx-agent-install,pyproject.toml project.scripts,As a Claude Code user I can install an agent,Agent installs safely and appears in manifest/load surface,Temp Claude home,ctx-agent-install --help,Tested Pass,"install/unload batch: 187 passed, including agent install behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-014,CLI,Agent unload,ctx-agent-unload,pyproject.toml project.scripts,As a user I can unload stale agents,Agent active state is removed safely and recommendation can suggest replacements,Temp installed agent,ctx-agent-unload --help,Tested Pass,install/unload batch plus monitor 3-type coverage: 187 passed for install/unload core behavior.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-015,CLI,Agent mirror,ctx-agent-mirror,pyproject.toml project.scripts,As a user I can mirror agents into wiki,Mirror emits normalized wiki pages with source metadata,Temp agent source,ctx-agent-mirror --help,Tested Pass,Temp CLI smoke passed: ctx-agent-mirror mirrored agent body into converted-agents and cleaned temp files.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-016,CLI,MCP add,ctx-mcp-add,pyproject.toml project.scripts,As a user I can add or update an MCP server,MCP record is validated enriched written atomically and linked in graph,Temp MCP JSON/URL and wiki path,ctx-mcp-add --dry-run with fixture,Retested Pass,Failed in isolated A-Z flow: Windows UTF-8 BOM input was rejected by markdown/JSON parsing; some rejected batch CLIs could still exit 0.,CTX-AZ-004,"Entity onboarding was not Windows-BOM-safe across skill/agent/MCP/harness inputs, and failed batches needed non-zero exits.",Fixed,MCP add accepted BOM-prefixed JSON and wrote sharded wiki entity in temp CLI flow; stdin BOM regression is covered by pytest. Focused pytest regressions passed.,2026-06-23,Regression coverage added for BOM inputs and MCP rejected-batch exit.
CLI-017,CLI,MCP install,ctx-mcp-install,pyproject.toml project.scripts,As a Claude Code user I can install an MCP server,MCP config is updated safely and secrets are not echoed or persisted inline,Temp Claude config,ctx-mcp-install --help then dry/temp smoke,Tested Pass,"install/unload batch: 187 passed, including MCP install behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-018,CLI,MCP uninstall,ctx-mcp-uninstall,pyproject.toml project.scripts,As a user I can uninstall an MCP server,MCP config entry is removed without damaging other servers,Temp Claude config,ctx-mcp-uninstall --help,Tested Pass,"install/unload batch: 187 passed, including MCP uninstall behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-019,CLI,MCP fetch,ctx-mcp-fetch,pyproject.toml project.scripts,As a maintainer I can fetch MCP catalog data,Fetch produces normalized records with source provenance and retry-safe output,Network available or fixture mode,ctx-mcp-fetch --help,Tested Pass,"MCP fetch/ingest/server batch: 77 passed, 1 skipped.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-020,CLI,MCP ingest,ctx-mcp-ingest,pyproject.toml project.scripts,As a maintainer I can ingest MCP catalog data,Ingest deduplicates normalizes and updates wiki/graph inputs,Fixture catalog,ctx-mcp-ingest --help,Tested Pass,"MCP fetch/ingest/server batch: 77 passed, 1 skipped.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-021,CLI,MCP enrich,ctx-mcp-enrich,pyproject.toml project.scripts,As a maintainer I can enrich MCP records,Enrichment updates metadata without clobbering curated fields,Fixture record,ctx-mcp-enrich --help,Tested Pass,"MCP enrich/canonical/quality signals batch: 78 passed, 1 skipped.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-022,CLI,MCP quality,ctx-mcp-quality,pyproject.toml project.scripts,As a maintainer I can score MCP quality,MCP score explains source docs install and metadata signals,Repo wiki available,ctx-mcp-quality --help,Tested Pass,"MCP quality batches passed: 123 passed plus 78 passed, 1 skipped in signal/enrich coverage.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-023,CLI,MCP rebuild index,ctx-mcp-rebuild-index,pyproject.toml project.scripts,As a maintainer I can rebuild MCP lookup index,Index rebuild is deterministic and validates duplicate slugs,Repo wiki available,ctx-mcp-rebuild-index --help,Tested Pass,Temp CLI smoke passed: ctx-mcp-rebuild-index wrote .canonical-index.json; canonical index tests included in 78 passed batch.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-024,CLI,MCP server,ctx-mcp-server,pyproject.toml project.scripts,As an MCP client I can connect to ctx as an MCP server,Server speaks JSON-RPC over stdio exposes ctx-core tools and shapes invalid requests safely,Local MCP client or stdio smoke,JSON-RPC initialize then tools/list and tools/call against ctx-mcp-server,Tested Pass,test_mcp_server.py covers initialize tools/list tools/call error shaping subprocess round-trip and telemetry redaction.,,,,,2026-06-29,Corrected tracker behavior from nonexistent --help path to the actual stdio MCP server contract.
CLI-025,CLI,Harness add,ctx-harness-add,pyproject.toml project.scripts,As a user I can add or update a harness,Harness page is atomic symlink-safe scored and linked to compatible model goals,Temp harness JSON/wiki,ctx-harness-add --dry-run --from-json fixture,Retested Pass,Failed in isolated A-Z flow: Windows UTF-8 BOM input was rejected by markdown/JSON parsing; some rejected batch CLIs could still exit 0.,CTX-AZ-004,"Entity onboarding was not Windows-BOM-safe across skill/agent/MCP/harness inputs, and failed batches needed non-zero exits.",Fixed,Harness add accepted BOM-prefixed JSON and wrote wiki entity in temp CLI flow. Focused pytest regressions passed.,2026-06-23,Regression coverage added for BOM inputs and MCP rejected-batch exit.
CLI-026,CLI,Harness install/recommend,ctx-harness-install,pyproject.toml project.scripts,As a local/API model user I can get harness recommendations and install one,Wizard interviews model goal tools privacy runtime and recommends harness above threshold or no-fit PRD,Graph/wiki installed,ctx-harness-install --dry-run --goal sample --model openai/gpt-4.1,Retested Pass,FAIL: generic Python coding-agent goal recommended narrow text-to-cad harness,CTX-AZ-003,Narrow-domain harnesses could win generic goals via shared python/filesystem/verification terms,Fixed with domain-fit penalty unless the user goal names the harness domain,PASS: generic goal now returns no-fit PRD; explicit CAD/robotics goal still recommends text-to-cad; focused tests 4 passed,2026-06-23,
CLI-027,CLI,Bundle suggest,ctx-bundle-suggest,pyproject.toml project.scripts,As a session-start hook I can get a capped bundle suggestion,Bundle suggestions are capped deduped and explain why each entity is useful,Graph installed and repo context,ctx-bundle-suggest --help,Tested Pass,"bundle/lifecycle/toolbox batch: 110 passed, including bundle suggestion/orchestration behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-028,CLI,Lifecycle,ctx-lifecycle,pyproject.toml project.scripts,As a user I can track load/unload lifecycle,Usage and stale entities are tracked with confirmable unload behavior,Audit/log path available,ctx-lifecycle --help,Tested Pass,"bundle/lifecycle/toolbox batch: 110 passed, including lifecycle behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-029,CLI,Toolbox,ctx-toolbox,pyproject.toml project.scripts,As a user I can manage toolbox councils,Toolbox init/list/run is idempotent and does not warn on expected existing state,Temp toolbox home,ctx-toolbox --help,Tested Pass,"bundle/lifecycle/toolbox batch: 110 passed, including toolbox config/hooks behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-030,CLI,Dedup check,ctx-dedup-check,pyproject.toml project.scripts,As a maintainer I can block duplicate entities,Dedup gate catches near duplicates and reports merge/update advice,Repo wiki/graph available,ctx-dedup-check --help then sample,Tested Pass,"wiki queue/dedup/source/package/category batch: 106 passed, including dedup behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-031,CLI,Tag backfill,ctx-tag-backfill,pyproject.toml project.scripts,As a maintainer I can backfill weak tags,Backfill adds useful tags without overwriting curated tags blindly,Fixture wiki,ctx-tag-backfill --help,Tested Pass,Temp-home CLI smoke passed: ctx-tag-backfill generated a report for an empty-tag skill; generated report artifact was removed.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-032,CLI,Source registry,ctx-source-registry,pyproject.toml project.scripts,As a maintainer I can track external sources,Registry records source status license and update provenance,Repo source registry available,ctx-source-registry --help,Tested Pass,Source registry test plus CLI JSON smoke passed; source registry emitted validated JSON and temp output was removed.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-033,CLI,Wiki graphify,ctx-wiki-graphify,pyproject.toml project.scripts,As a maintainer I can build the knowledge graph,Graphify exports crash-safe graph artifacts refreshes generated links and validates counts,Repo wiki path,ctx-wiki-graphify --dry-run or graph-only fixture,Tested Pass,wiki graphify/security/density/quality/harness entity tests: 43 passed.,,,,,2026-06-23,Validated in final A-Z pass.
CLI-034,CLI,Incremental attach,ctx-incremental-attach,pyproject.toml project.scripts,As a maintainer I can attach new nodes fast,Attach uses pinned embedding/index geometry writes provenance-rich overlays and supports dry-run/queued fallback,Vector index and fixture node,ctx-incremental-attach attach --dry-run ...,Tested Pass,"graph packs/store/incremental batch: 59 passed, including incremental attach A-Z flow.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-035,CLI,Incremental shadow,ctx-incremental-shadow,pyproject.toml project.scripts,As a maintainer I can compare incremental attach with batch graph,Shadow mode reports precision recall top-k agreement and bad examples,Graph/index available,ctx-incremental-shadow --help,Tested Pass,incremental shadow tests: 6 passed.,,,,,2026-06-23,Validated in final A-Z pass.
CLI-036,CLI,Graph store,ctx-graph-store,pyproject.toml project.scripts,As a dashboard user I can search graph quickly via SQLite store,Store builds validates searches and returns neighborhoods consistent with graph artifacts,Graph artifact available,ctx-graph-store --help,Tested Pass,"graph packs/store/incremental batch: 59 passed, including graph-store CLI build/validate/search/neighborhood behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-037,CLI,Pack compaction,ctx-pack-compact,pyproject.toml project.scripts,As a maintainer I can compact overlay packs,Compaction validates overlays tombstones counts and writes new base artifacts atomically,Graph packs available,ctx-pack-compact --help,Tested Pass,graph packs/store/incremental batch: 59 passed plus pack_compaction coverage.,,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-038,CLI,Wiki worker,ctx-wiki-worker,pyproject.toml project.scripts,As a maintainer I can drain wiki maintenance queue,Worker leases retries jobs and recovers after failure without corrupting artifacts,Temp wiki queue,ctx-wiki-worker --once --limit 1 on fixture,Tested Pass,"wiki queue/dedup/source/package/category batch: 106 passed, including wiki worker upsert/delete/compaction jobs.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-039,CLI,SkillSpector audit,ctx-skillspector-audit,pyproject.toml project.scripts,As a maintainer I can audit skill quality and stale resources,Audit reports stale wrappers invalid references and remediation actions,Repo skills available,ctx-skillspector-audit --help,Tested Pass,"SkillSpector/health batch: 56 passed, including audit payload/report normalization.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-040,CLI,SkillSpector scan,ctx-skillspector-scan,pyproject.toml project.scripts,As a maintainer I can scan SkillSpector data for dashboard,Scan produces dashboard-readable results without blocking normal monitor load,Repo skills available,ctx-skillspector-scan --help,Tested Pass,"SkillSpector/health batch: 56 passed, including scan/service behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-041,CLI,SkillSpector remediation,ctx-skillspector-remediation,pyproject.toml project.scripts,As a maintainer I can remediate SkillSpector findings,Remediation proposes or applies safe fixes with audit evidence,Audit fixture,ctx-skillspector-remediation --help,Tested Pass,"SkillSpector/health batch: 56 passed, including remediation behavior.",,,,,2026-06-23,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.
CLI-042,Dashboard,Monitor server,ctx-monitor,pyproject.toml project.scripts,As a user I can launch the local dashboard,Dashboard starts on local host serves all nav pages and does not expose LAN mode unauthenticated,Graph runtime installed,ctx-monitor serve --host 127.0.0.1 --port 8765,Tested Pass,Started ctx-monitor on 127.0.0.1:8765; HTTP dashboard responded after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
CLI-043,CLI,Telemetry export,ctx-telemetry-export,pyproject.toml project.scripts and docs/telemetry.md,As an enterprise operator I can export local ctx telemetry to configured sinks,Export reads local event and metric spools applies checkpoints and supports local JSONL or OTLP sinks with host allow-listing,Telemetry spool and optional exporter config,ctx-telemetry-export --dry-run --json,Tested Pass,enterprise telemetry focused tests covered exporter configuration checkpointing local JSONL and OTLP payload paths.,,,,,2026-06-29,Validated in telemetry release gate without requiring external collector credentials.
CLI-044,CLI,Telemetry retention,ctx-telemetry-retention,pyproject.toml project.scripts and docs/telemetry.md,As an enterprise operator I can preview and enforce telemetry retention,Retention plans and enforces TTL cleanup for local telemetry signals while recording status without leaking payloads,Telemetry config and local spool paths,ctx-telemetry-retention plan --signal all --json,Tested Pass,enterprise telemetry focused tests covered retention planning enforcement status output and privacy salt behavior.,,,,,2026-06-29,Validated as local-only enterprise privacy default with exporters separately configurable.
CLI-045,CLI,Backup mirror CLI,"python -m backup_mirror create, snapshot-if-changed, verify, restore, watchdog, prune","src/backup_mirror.py, src/backup_watchdog.py, docs/backup-hook-install.md",As a Claude Code user I can snapshot verify restore watch and prune tracked config backups from documented commands,Backup mirror commands create SHA-gated snapshots verify before restore run watchdog polling safely and prune by retention policy without leaking credentials,Temp Claude home fixture available,"python -m pytest src/tests/test_backup_mirror.py src/tests/test_backup_retention.py src/tests/test_backup_watchdog.py -q",Tested Pass,"test_backup_mirror.py, test_backup_retention.py, and test_backup_watchdog.py cover create snapshot-if-changed verify restore watchdog and prune CLI paths.",,,,,2026-06-29,Added so the public backup install page's documented python -m backup_mirror commands are tracked as first-class behavior.
CLI-046,CLI,Generic harness planner evaluator and contract modes,"ctx run --planner, ctx run --evaluator, ctx run --contract","src/ctx/cli/run.py, src/tests/test_harness_planner.py, src/tests/test_harness_evaluator.py, src/tests/test_harness_contract.py",As a model-agnostic harness user I can run planning evaluation and contract review modes,ctx.cli.run exposes --planner --evaluator and --contract modes while preserving session and runtime semantics,Provider fixture or local test provider available,"python -m pytest src/tests/test_harness_planner.py src/tests/test_harness_evaluator.py src/tests/test_harness_contract.py -q",Tested Pass,harness planner evaluator and contract tests cover CLI parser runtime dispatch and persisted outputs.,,,,,2026-06-29,Split from broad CLI-001 so deep ctx.cli.run modes are explicit.
CLI-047,CLI,Resume MCP restoration safety,ctx resume --restore-session-mcp and credential_env,src/ctx/cli/run.py and src/tests/test_harness_cli_run.py,As a returning harness user I can resume without restoring executable MCP metadata unless I opt in,ctx resume skips recorded MCP command and env metadata by default and restores credential_env only with explicit --restore-session-mcp,Recorded session fixture,python -m pytest src/tests/test_harness_cli_run.py -q,Tested Pass,test_harness_cli_run.py covers default skip restore opt-in and credential_env behavior.,,,,,2026-06-29,Tracks resume security semantics inside broad CLI-001.
CLI-048,CLI,Harness update and uninstall controls,ctx-harness-install --update and ctx-harness-install --uninstall,src/harness_install.py and src/tests/test_harness_install.py,As a harness user I can dry-run update or uninstall an installed harness safely,Update and uninstall flows detect installed harness state show planned changes and avoid destructive surprises,Installed harness fixture,python -m pytest src/tests/test_harness_install.py -q,Tested Pass,test_harness_install.py covers update dry-run uninstall safety and missing-record behavior.,,,,,2026-06-29,Split from CLI-026 so install recommend update and uninstall semantics are separately tracked.
CLI-049,CLI,LoopFlow and agent-loop adapter,python -m ctx.adapters.loopflow,src/ctx/adapters/loopflow.py and src/tests/test_loopflow_adapter.py,As a DSL runner or custom agent-loop author I can ask ctx for scoped planning capabilities before each loop plan,Adapter emits a JSON contract with permission-gated skills agents MCPs ctx MCP server metadata and gated harness recommendations only when a user-owned/API/local model is declared,Graph/wiki available or recommendation functions mocked,python -m pytest src/tests/test_loopflow_adapter.py -q,Tested Pass,test_loopflow_adapter.py covers loop-file parsing permission filtering MCP tool metadata harness gating shell-quoted harness install commands CLI JSON output and empty permission fail-closed behavior.,,,,,2026-06-30,Tracks the module entry point documented in docs/harness/attaching-to-hosts.md.
HOOK-001,Hooks,Backup PostToolUse runtime hook,hooks/backup_on_change.py,hooks/backup_on_change.py and src/tests/test_quality_hook.py,As a Claude Code user I can snapshot tracked config changes from a PostToolUse hook,The hook reads stdin JSON detects tracked files runs snapshot-if-changed and always exits 0 so edits are not blocked,Temp Claude home and tracked config fixture needed,python -m pytest src/tests/test_quality_hook.py -q,Tested Pass,test_quality_hook.py covers root backup hook stdin parsing tracked-file dispatch snapshot reason shaping and nonblocking exit even when snapshot returns nonzero.,,,,,2026-06-30,Validated in Phase 2 runtime hook behavior slice without increasing the test inventory count.
HOOK-002,Hooks,Quality Stop runtime hook,hooks/quality_on_session_end.py,hooks/quality_on_session_end.py and src/tests/test_quality_hook.py,As a Claude Code user I can refresh touched skill quality on session stop without blocking shutdown,The hook reads event state recomputes bounded touched slugs writes audit state and always exits 0 on advisory failures,Temp Claude home and skill event fixture needed,python -m pytest src/tests/test_quality_hook.py -q,Tested Pass,test_quality_hook.py covers touched slug selection state cutoff max slug cap missing file behavior and main nonblocking exit when recompute fails.,,,,,2026-06-30,Validated in Phase 2 runtime hook behavior slice without increasing the test inventory count.
PYAPI-001,Python API,Public Python API,ctx.api and ctx top-level re-exports,src/ctx/api.py and src/ctx/__init__.py,As a harness author I can import ctx from Python without depending on internal modules,recommend_bundle graph_query wiki_search wiki_get list_all_entities default_wiki_dir and CtxCoreToolbox keep stable signatures safe defaults and top-level re-exports,Runtime wiki or synthetic fixture available,pytest src/tests/test_public_api.py -q,Tested Pass,test_public_api.py covers __all__ exports top-level re-exports signatures happy paths empty paths and telemetry privacy payloads.,,,,,2026-06-29,Added during canonical feature inventory gap pass.
MCP-001,MCP/Core Tools,Read/query tool catalog,"ctx__recommend_bundle, ctx__graph_query, ctx__wiki_search, ctx__wiki_get",src/ctx/adapters/generic/ctx_core_tools.py and src/ctx/mcp_server/server.py,As an MCP or generic harness client I can call ctx read tools consistently,Read tools return recommendations graph neighborhoods wiki search and wiki entity payloads through both generic toolbox and MCP stdio surfaces,Synthetic graph/wiki fixture available,pytest src/tests/test_harness_ctx_core.py src/tests/test_mcp_server.py -q,Tested Pass,test_harness_ctx_core.py and test_mcp_server.py pin the read tool names schemas dispatch success paths and JSON-RPC tools/list exposure.,,,,,2026-06-29,Canonical tracker row for the first-class ctx-core read tools.
MCP-002,MCP/Core Tools,Lifecycle and session tool catalog,"ctx__observe_dev_event, ctx__load_entity, ctx__mark_entity_used, ctx__record_validation, ctx__record_escalation, ctx__unload_entity, ctx__session_end, ctx__session_state",src/ctx/adapters/generic/ctx_core_tools.py and ctx.runtime_lifecycle.record,As an MCP or generic harness client I can record runtime lifecycle evidence,Lifecycle tools append privacy-safe session events enforce bound session IDs and expose session state without leaking raw entity slugs,Temp runtime lifecycle directory available,pytest src/tests/test_harness_ctx_core.py src/tests/test_mcp_server.py -q,Tested Pass,test_harness_ctx_core.py covers lifecycle append order bound session enforcement telemetry hashing and test_mcp_server.py covers lifecycle tools/call round-trip.,,,,,2026-06-29,Canonical tracker row for lifecycle/session tools exposed in the MCP/core toolbox catalog.
MCP-003,MCP Router,Trusted third-party MCP attachment,McpClient and McpRouter,src/ctx/adapters/generic/tools/mcp_router.py,As a generic harness user I can attach trusted third-party MCP servers safely,Router starts MCP subprocesses with isolated environment namespaces tools handles timeouts and redacts secrets from errors,Fake MCP server fixture available,pytest src/tests/test_mcp_router.py -q,Tested Pass,test_mcp_router.py covers client start stop tool listing calls namespace routing timeout crash handling environment isolation and stderr secret redaction.,,,,,2026-06-29,Added because third-party MCP attachment is user-facing host functionality not just internal plumbing.
MCP-004,MCP/Core Tools,Response format negotiation,output_format and _response_format,src/ctx/adapters/generic/ctx_core_tools.py,As a tool caller I can request JSON or GCF output from read tools,Read tool schemas expose optional output_format and _response_format aliases and fall back to JSON errors when GCF codec is unavailable,Generic toolbox fixture available,pytest src/tests/test_harness_ctx_core.py -q,Tested Pass,test_harness_ctx_core.py covers optional schema fields JSON default GCF opt-in public alias and codec-missing fallback.,,,,,2026-06-29,Tracks a schema-visible behavior exposed to MCP/tool clients.
DASH-001,Dashboard,Home page,/,src/ctx/monitor/routes.py,As a user I can land on a useful dashboard home,Home shows current counts and high-value entry points without stale numbers,Monitor running,GET /,Tested Pass,GET / returned 200 in 1506ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-002,Dashboard,Loaded page,/loaded,src/ctx/monitor/routes.py,As a user I can see loaded entities,Loaded page lists active skills agents MCPs and supports load state clarity,Monitor running,GET /loaded,Tested Pass,GET /loaded returned 200 in 79ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-003,Dashboard,Skills page,/skills,src/ctx/monitor/routes.py,As a user I can browse skills with pagination/search,Skills page is fast and does not dump all cards at once,Monitor running,GET /skills,Tested Pass,GET /skills returned 200 in 165ms after restart.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
DASH-004,Dashboard,SkillSpector page,/skillspector,src/ctx/monitor/routes.py,As a maintainer I can inspect quality findings,SkillSpector page renders findings and remediation links,Monitor running,GET /skillspector,Tested Pass,GET /skillspector returned 200 in 3315ms after restart; functional but slower than core pages.,,,,,2026-06-23,Dashboard route sweep; no mutation performed.
