feature_id,parent_feature_id,source_tracker,surface,feature,entrypoint_or_route,source_evidence,risk_level,user_story,expected_behavior,setup_preconditions,test_command_or_steps,verification_mode,status,evidence,bug_id,bug_summary,bug_repro,fix_status,retest_evidence,last_verified_at,owner_lane,notes,review_status,review_notes,fix_strategy,validation_status
CLI-006,,docs/qa/feature-user-story-status.csv,CLI,Skill add,ctx-skill-add,pyproject.toml project.scripts; src/corpus_cache.py; src/cosine_ranker.py; src/intake_gate.py; src/intake_pipeline.py; src/ctx/core/entity_update.py; src/ctx/core/wiki/wiki_utils.py; src/skill_add.py,Medium,As a user I can add or update a skill,Skill is validated micro-skill gated written to wiki and attached to graph/index without duplicate stale edges,Temp skill directory and wiki path,ctx-skill-add --skill-path temp/SKILL.md --name demo --wiki temp/wiki,CLI Smoke,Retested Pass,Failed in isolated A-Z flow: Windows UTF-8 BOM input was rejected by markdown/JSON parsing; some rejected batch CLIs could still exit 0.,CTX-AZ-004,"Entity onboarding was not Windows-BOM-safe across skill/agent/MCP/harness inputs, and failed batches needed non-zero exits.",ctx-skill-add --skill-path temp/SKILL.md --name demo --wiki temp/wiki,Fixed,PASS: Skill add accepted BOM-prefixed SKILL.md and wrote wiki entity in temp CLI flow. Focused pytest regressions passed.,2026-06-23,CLI Lane,Regression coverage added for BOM inputs and MCP rejected-batch exit.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-007,,docs/qa/feature-user-story-status.csv,CLI,Skill install,ctx-skill-install,pyproject.toml project.scripts,Medium,As a Claude Code user I can install a recommended skill,Skill installs into Claude skills directory with manifest and safe overwrite behavior,Temp Claude home,ctx-skill-install --help then dry/smoke path if available,Automated Test,Tested Pass,"install/unload batch: 187 passed, including skill install behavior.",,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-008,,docs/qa/feature-user-story-status.csv,CLI,Skill unload,ctx-skill-unload,pyproject.toml project.scripts,Medium,As a user I can unload stale skills,Skill is disabled/removed from active load state without deleting unrelated user files,Temp installed skill,ctx-skill-unload --help then temp uninstall smoke,Automated Test,Tested Pass,"install/unload batch: 187 passed, including skill unload behavior.",,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-009,,docs/qa/feature-user-story-status.csv,CLI,Skill mirror,ctx-skill-mirror,pyproject.toml project.scripts; src/skill_mirror.py,Medium,As a user I can mirror installed skills into wiki,Mirror preserves source metadata and does not overwrite higher quality records silently,Temp skill source,ctx-skill-mirror --help,Automated Test,Tested Pass,"mirror/quality batch: 123 passed, including skill mirror behavior.",,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-010,,docs/qa/feature-user-story-status.csv,CLI,Skill health,ctx-skill-health,pyproject.toml project.scripts,Medium,As a maintainer I can check skill health,Health check reports missing frontmatter orphan entries and line drift with actionable exits,Repo graph/wiki available,ctx-skill-health --help then focused check,Automated Test,Tested Pass,"SkillSpector/health batch: 56 passed, including skill health behavior.",,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-011,,docs/qa/feature-user-story-status.csv,CLI,Skill quality,ctx-skill-quality,pyproject.toml project.scripts; src/ctx/core/quality/quality_signals.py; src/skill_quality.py,High,As a maintainer I can compute skill quality,Quality scores explain telemetry intake graph and routing signals,Repo graph/wiki available,ctx-skill-quality --help then sample,Automated Test,Tested Pass,"mirror/quality batch: 123 passed, including skill quality behavior.",,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-012,,docs/qa/feature-user-story-status.csv,CLI,Agent add,ctx-agent-add,pyproject.toml project.scripts; src/agent_add.py,Medium,As a user I can add or update an agent,Agent page is validated written atomically and connected to graph,Temp agent markdown and wiki path,ctx-agent-add --agent-path temp/agent.md --name demo --wiki temp/wiki,CLI Smoke,Retested Pass,Failed in isolated A-Z flow: Windows UTF-8 BOM input was rejected by markdown/JSON parsing; some rejected batch CLIs could still exit 0.,CTX-AZ-004,"Entity onboarding was not Windows-BOM-safe across skill/agent/MCP/harness inputs, and failed batches needed non-zero exits.",ctx-agent-add --agent-path temp/agent.md --name demo --wiki temp/wiki,Fixed,PASS: Agent add accepted BOM-prefixed agent markdown and wrote wiki entity in temp CLI flow. Focused pytest regressions passed.,2026-06-23,CLI Lane,Regression coverage added for BOM inputs and MCP rejected-batch exit.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-013,,docs/qa/feature-user-story-status.csv,CLI,Agent install,ctx-agent-install,pyproject.toml project.scripts,Medium,As a Claude Code user I can install an agent,Agent installs safely and appears in manifest/load surface,Temp Claude home,ctx-agent-install --help,Automated Test,Tested Pass,"install/unload batch: 187 passed, including agent install behavior.",,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-014,,docs/qa/feature-user-story-status.csv,CLI,Agent unload,ctx-agent-unload,pyproject.toml project.scripts,Medium,As a user I can unload stale agents,Agent active state is removed safely and recommendation can suggest replacements,Temp installed agent,ctx-agent-unload --help,Automated Test,Tested Pass,install/unload batch plus monitor 3-type coverage: 187 passed for install/unload core behavior.,,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-015,,docs/qa/feature-user-story-status.csv,CLI,Agent mirror,ctx-agent-mirror,pyproject.toml project.scripts; src/agent_mirror.py,Medium,As a user I can mirror agents into wiki,Mirror copies eligible top-level agent bodies verbatim into converted-agents skips pipeline fragments and invalid frontmatter avoids unchanged rewrites and supports dry-run and prune,Temp agent source,.venv/bin/python -m pytest -q --no-cov src/tests/test_agent_mirror.py,Automated Test,Retested Pass,PASS: 7 agent-mirror behavior tests cover verbatim writes unchanged detection force dry-run filtering prune invalid sources JSON output and hard-failure exits at 83.33 percent direct module coverage.,,,,,PASS: 7 agent-mirror behavior tests cover verbatim writes unchanged detection force dry-run filtering prune invalid sources JSON output and hard-failure exits at 83.33 percent direct module coverage.,2026-07-20,CLI Lane,AUDIT-057 closed with dedicated behavior regressions; expected behavior now matches the current verbatim mirror contract.,Reviewed locally,Standards/spec pass confirmed the tests exercise the documented user behavior and the full mypy gate is clean.,Ponytail: test current behavior and correct stale tracker prose only.,Validated by 7 focused tests at 83.33 percent direct coverage plus the clean project static gate
CLI-016,,docs/qa/feature-user-story-status.csv,CLI,MCP add,ctx-mcp-add,pyproject.toml project.scripts; src/mcp_add.py,Medium,As a user I can add or update an MCP server,MCP record is validated enriched written atomically linked in graph and JSONL/stdin batches stream without preloading,Temp MCP JSON/URL and wiki path,ctx-mcp-add --dry-run with fixture,CLI Smoke,Retested Pass,Failed in isolated A-Z flow: Windows UTF-8 BOM input was rejected by markdown/JSON parsing; some rejected batch CLIs could still exit 0.,CTX-AZ-004,"Entity onboarding was not Windows-BOM-safe across skill/agent/MCP/harness inputs, and failed batches needed non-zero exits.",ctx-mcp-add --dry-run with fixture,Fixed,PASS: MCP add accepted BOM-prefixed JSON and wrote sharded wiki entity in temp CLI flow; stdin BOM regression is covered by pytest. Focused pytest regressions passed.,2026-06-23,CLI Lane,Regression coverage added for BOM inputs MCP rejected-batch exit and streaming JSONL input.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: streaming input only; no add semantics expansion unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-017,,docs/qa/feature-user-story-status.csv,CLI,MCP install,ctx-mcp-install,pyproject.toml project.scripts,High,As a Claude Code user I can install an MCP server,MCP config is updated safely dry-run does not mutate manifest state and secrets are not echoed or persisted inline,Temp Claude config,ctx-mcp-install --help then dry/temp smoke,Automated Test,Tested Pass,"install/unload batch: 187 passed, including MCP install behavior.",,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke including installed dry-run manifest safety.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: dry-run manifest safety only; no install behavior expansion unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-018,,docs/qa/feature-user-story-status.csv,CLI,MCP uninstall,ctx-mcp-uninstall,pyproject.toml project.scripts,Medium,As a user I can uninstall an MCP server,MCP config entry is removed without damaging other servers,Temp Claude config,ctx-mcp-uninstall --help,Automated Test,Tested Pass,"install/unload batch: 187 passed, including MCP uninstall behavior.",,,,,,2026-06-23,CLI Lane,Validated in focused pytest or isolated temp CLI smoke during A-Z pass.,Reviewed by no-mistakes,Historical tracker import; current canonical row is covered by completed goal-loop review and no-mistakes gate.,Ponytail: no fix needed unless retest produces a concrete regression.,Validated by completed goal-loop and no-mistakes gate
CLI-019,,docs/qa/feature-user-story-status.csv,CLI,MCP fetch,ctx-mcp-fetch,pyproject.toml project.scripts; src/mcp_fetch.py; src/mcp_sources/__init__.py; src/mcp_sources/awesome_mcp.py; src/mcp_sources/base.py; src/mcp_sources/pulsemcp.py,Medium,As a maintainer I can fetch MCP catalog data,Fetch streams source-provided McpRecord-shaped JSONL with source provenance; source failures stay on stderr and produce a nonzero exit,Network available or source fixtures,.venv/bin/python -m pytest -q --no-cov src/tests/test_mcp_fetch_cli.py src/tests/test_mcp_sources_awesome.py src/tests/test_mcp_sources_base.py src/tests/test_mcp_sources_pulsemcp.py,Automated Test,Tested Pass,PASS: 169 combined MCP fetch/source lifecycle and queue behavior tests passed in 1.76s.,,,,,,2026-07-16,CLI Lane,Expected behavior now matches the source streaming contract and focused source fixtures.,Reviewed locally,Historical normalized and retry-safe wording overclaimed the dispatcher contract.,Ponytail: corrected tracker contract without changing intentional streaming behavior.,Retested in current audit phase
